ID,NOME_FICTICIO,MCA_STATUS,IDADE,COR,GÊNERO,LOCAL,EDU_TÍTULO,GRAD_IES_CA,GRAD_STEM,PÓS,PUBLIC,LÍNG_EST,MOB_REG,MOB_INTER,QT_CARGOS_MOD,SET_PÚB,SET_PRIV,SET_TERC,P1_STEM,DP_STEM,STEM,STUP_NEXUS,STUP_FIN_FAPESP,STUP_FIN_ANJO,STUP_FIN_COLETIVO,STUP_FIN_CLIENTES,STUP_SÓCIO,STUP_SÓCIO_GEN,STUP_PORTE,STUP_SITUACAO,STUP_CNAE
ID00238,Jefferson,Ativo,15-30 anos,Branca,Masculino,Em MRVP,Graduado(a),IES privada,Graduação não-STEM,Sem pós,Não publicou,1 LE,Sem regionalização,Sem internacionalização,07-09 cargos,Sem experiência pública,Sim,Com experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Growth,Sem FAP,Sem anjo,Com fundos,Com clientes,Sim,Similar,ME,Inativa,Informação e comunicação (58-63)
ID00160,Jerônimo,Ativo,46+ anos,PPI,Masculino,Fora da MRVP,Doutor(a),IES privada,Graduação não-STEM,Pós STEM,Publicou,2+ LE,Sem regionalização,Sem internacionalização,01-03 cargos,Com experiência pública,Sim,Sem experiência TS,Sem P1 STEM,Com DP STEM,Transição STEM,Growth,Sem FAP,,,,Sim,Diverso,ME,Ativa,Indústria de transformação (10-33)
ID00105,Jéssica,Ativo,31-45 anos,PPI,Feminino,Em MRVP,Graduado(a),IES privada,Graduação não-STEM,Sem pós,Não publicou,1 LE,Sem regionalização,Sem internacionalização,01-03 cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Growth,Sem FAP,,,,Não,Sem sócio,ME,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00135,João Pedro,Ativo,46+ anos,Branca,Masculino,Em MRVP,Graduado(a),IES pública,Graduação STEM,Sem pós,Não publicou,2+ LE,Sem regionalização,Sem internacionalização,01-03 cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Growth,Sem FAP,,,,Sim,Diverso,SE,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00094,Joel,Ativo,31-45 anos,Branca,Masculino,Em MRVP,Mestre(a),IES privada,Graduação STEM,Pós não-STEM,Publicou,2+ LE,Sem regionalização,Sem internacionalização,10+ cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Lab,Sem FAP,,,,Sim,Similar,ME,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00230,Jonas,Ativo,46+ anos,Branca,Masculino,Em MRVP,Graduado(a),IES pública,Graduação STEM,Pós não-STEM,Não publicou,2+ LE,Sem regionalização,Sem internacionalização,04-06 cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Sem DP STEM,Transição STEM,Lab,Sem FAP,,,,Não,Sem sócio,ME,Ativa,"Outros (finanças, saúde, construção, artes, agricultura)"
ID00178,Jônatas,Ativo,46+ anos,Branca,Masculino,Em MRVP,Graduado(a),IES pública,Graduação não-STEM,Sem pós,Não publicou,Sem LE,Sem regionalização,Sem internacionalização,07-09 cargos,Sem experiência pública,Sim,Com experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Growth,Sem FAP,,,,Sim,Diverso,SE,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00354,Jorge,Ativo,46+ anos,Branca,Masculino,Em MRVP,Graduado(a),IES privada,Graduação não-STEM,Sem pós,Não publicou,Sem LE,Sem regionalização,Sem internacionalização,01-03 cargos,Sem experiência pública,Sim,Sem experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Lab,Sem FAP,,,,Sim,Diverso,ME,Ativa,Informação e comunicação (58-63)
ID00284,Josias,Ativo,46+ anos,Branca,Masculino,Em MRVP,Mestre(a),IES pública,Graduação STEM,Pós STEM,Não publicou,2+ LE,Sem regionalização,Sem internacionalização,07-09 cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Sem DP STEM,Transição STEM,Lab,Sem FAP,,,,Sim,Similar,ME,Ativa,Educação (85)
ID00314,Josué,Ativo,31-45 anos,Branca,Masculino,Em MRVP,Graduado(a),IES pública,Graduação STEM,Sem pós,Não publicou,1 LE,Com regionalização,Sem internacionalização,07-09 cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Growth,Sem FAP,,,,Sim,Similar,ME,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
